Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250801_162156_oej58,"Simon",countup,1,2025-08-01T04:21:59.036Z,Down,0,"0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0",2481,1,0,false
20250801_162156_oej58,"Simon",countup,2,2025-08-01T04:21:59.250Z,Left,4,"0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0",215,1,1,false
20250801_162156_oej58,"Simon",countup,3,2025-08-01T04:21:59.411Z,Down,4,"2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0",161,1,0,false
20250801_162156_oej58,"Simon",countup,4,2025-08-01T04:21:59.422Z,Right,4,"4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2",11,1,0,false
20250801_162156_oej58,"Simon",countup,5,2025-08-01T04:21:59.475Z,Left,8,"0,0,2,0,0,0,0,0,0,0,0,4,4,0,2,2",53,1,1,false
20250801_162156_oej58,"Simon",countup,6,2025-08-01T04:21:59.599Z,Right,8,"4,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0",124,1,0,false
20250801_162156_oej58,"Simon",countup,7,2025-08-01T04:21:59.610Z,Down,20,"0,0,0,0,0,2,0,0,0,0,4,4,4,0,2,2",11,1,2,false
20250801_162156_oej58,"Simon",countup,8,2025-08-01T04:21:59.694Z,Left,20,"0,0,2,0,0,0,0,2,0,0,0,8,0,0,4,4",84,1,0,false
20250801_162156_oej58,"Simon",countup,9,2025-08-01T04:21:59.795Z,Right,20,"2,0,2,2,0,0,4,8,0,0,0,4,0,0,0,0",101,1,0,false
20250801_162156_oej58,"Simon",countup,10,2025-08-01T04:21:59.809Z,Down,28,"0,0,2,0,0,0,0,2,0,0,2,8,2,0,4,4",13,1,1,false
20250801_162156_oej58,"Simon",countup,11,2025-08-01T04:21:59.886Z,Left,52,"0,0,0,2,0,0,2,2,0,0,2,8,0,0,2,8",78,1,3,false
20250801_162156_oej58,"Simon",countup,12,2025-08-01T04:22:00.005Z,Down,60,"0,0,4,4,0,0,2,16,0,0,0,0,0,0,2,0",119,1,1,false
20250801_162156_oej58,"Simon",countup,13,2025-08-01T04:22:00.067Z,Right,60,"0,0,0,8,0,0,2,16,0,0,0,0,0,2,0,2",62,1,0,false
20250801_162156_oej58,"Simon",countup,14,2025-08-01T04:22:00.127Z,Left,60,"0,0,0,2,0,0,0,8,0,0,0,16,0,2,2,2",60,1,0,false
20250801_162156_oej58,"Simon",countup,15,2025-08-01T04:22:00.197Z,Right,64,"0,2,2,2,0,0,0,8,0,0,2,16,0,0,0,2",70,1,1,false
20250801_162156_oej58,"Simon",countup,16,2025-08-01T04:22:00.252Z,Down,64,"0,0,0,2,0,0,0,8,0,2,0,16,0,2,4,2",55,1,0,false
20250801_162156_oej58,"Simon",countup,17,2025-08-01T04:22:00.280Z,Left,64,"0,0,0,2,2,0,0,8,0,0,2,16,0,2,4,2",28,1,0,false
20250801_162156_oej58,"Simon",countup,18,2025-08-01T04:22:00.392Z,Right,68,"2,2,2,2,0,0,4,8,0,0,0,16,0,2,0,2",112,1,1,false
20250801_162156_oej58,"Simon",countup,19,2025-08-01T04:22:00.419Z,Down,80,"0,2,0,2,0,0,0,8,0,0,2,16,2,4,4,2",27,1,2,false
20250801_162156_oej58,"Simon",countup,20,2025-08-01T04:22:00.487Z,Left,80,"0,0,0,4,2,0,0,8,0,0,2,16,0,2,8,2",67,1,0,false
20250801_162156_oej58,"Simon",countup,21,2025-08-01T04:22:00.615Z,Down,100,"2,2,2,4,0,2,8,8,0,0,0,16,0,0,0,2",129,1,2,false
20250801_162156_oej58,"Simon",countup,22,2025-08-01T04:22:00.661Z,Right,136,"0,2,4,4,0,0,2,16,0,2,0,16,0,0,0,2",46,1,2,false
20250801_162156_oej58,"Simon",countup,23,2025-08-01T04:22:00.716Z,Left,136,"0,0,0,0,2,0,0,4,0,0,4,32,0,4,2,2",55,1,0,false
20250801_162156_oej58,"Simon",countup,24,2025-08-01T04:22:00.782Z,Right,136,"2,4,4,4,0,0,2,32,0,2,0,2,0,0,0,0",66,1,0,false
20250801_162156_oej58,"Simon",countup,25,2025-08-01T04:22:00.842Z,Down,152,"0,0,2,0,0,0,0,4,0,4,4,32,2,2,2,2",60,1,3,false
20250801_162156_oej58,"Simon",countup,26,2025-08-01T04:22:00.885Z,Left,152,"0,4,0,2,0,0,0,4,0,0,8,32,0,0,4,4",43,1,0,false
20250801_162156_oej58,"Simon",countup,27,2025-08-01T04:22:00.976Z,Right,152,"0,4,8,2,2,0,4,4,0,0,0,32,0,0,0,4",91,1,0,false
20250801_162156_oej58,"Simon",countup,28,2025-08-01T04:22:01.054Z,Left,152,"0,2,0,2,0,0,0,4,0,0,8,32,2,4,4,4",78,1,0,false
20250801_162156_oej58,"Simon",countup,29,2025-08-01T04:22:01.167Z,Up,164,"2,2,8,2,0,4,4,4,0,0,0,32,0,0,2,4",113,1,2,false
20250801_162156_oej58,"Simon",countup,30,2025-08-01T04:22:01.254Z,Left,176,"4,8,2,0,8,4,2,0,32,0,0,0,2,4,0,0",87,1,2,false
20250801_162156_oej58,"Simon",countup,31,2025-08-01T04:22:01.350Z,Right,192,"4,8,4,0,8,8,0,0,32,2,0,0,2,0,0,0",96,1,1,false
20250801_162156_oej58,"Simon",countup,32,2025-08-01T04:22:01.376Z,Up,196,"4,0,0,0,8,0,0,0,32,16,0,4,2,2,4,0",26,1,1,false
20250801_162156_oej58,"Simon",countup,33,2025-08-01T04:22:01.435Z,Left,196,"4,0,0,0,8,2,0,0,32,16,4,0,4,4,0,0",59,1,0,false
20250801_162156_oej58,"Simon",countup,34,2025-08-01T04:22:01.506Z,Right,196,"4,2,4,2,8,16,0,0,32,4,0,0,4,0,0,0",71,1,0,false
20250801_162156_oej58,"Simon",countup,35,2025-08-01T04:22:01.559Z,Up,204,"4,0,0,2,8,2,0,0,32,16,0,0,4,4,4,2",53,1,1,false
20250801_162156_oej58,"Simon",countup,36,2025-08-01T04:22:01.585Z,Left,208,"4,2,0,0,8,2,0,0,32,16,0,0,8,4,2,2",26,1,1,false
20250801_162156_oej58,"Simon",countup,37,2025-08-01T04:22:01.657Z,Right,212,"4,4,2,2,8,16,2,0,32,4,0,0,8,0,0,0",72,1,1,false
20250801_162156_oej58,"Simon",countup,38,2025-08-01T04:22:01.734Z,Left,212,"4,0,0,0,8,4,2,0,32,16,0,0,8,4,4,2",77,1,0,false
20250801_162156_oej58,"Simon",countup,39,2025-08-01T04:22:01.817Z,Right,212,"4,4,2,2,8,16,4,0,32,4,0,0,8,2,0,0",83,1,0,false
20250801_162156_oej58,"Simon",countup,40,2025-08-01T04:22:01.890Z,Left,216,"4,4,0,0,8,16,0,2,32,4,2,0,8,2,4,2",73,1,1,false
20250801_162156_oej58,"Simon",countup,41,2025-08-01T04:22:01.919Z,Up,224,"4,4,2,4,8,16,4,0,32,4,0,2,8,2,0,0",29,1,1,false
20250801_162156_oej58,"Simon",countup,42,2025-08-01T04:22:01.976Z,Right,248,"8,2,4,0,8,16,4,0,32,4,2,0,8,2,4,0",57,1,2,false
20250801_162156_oej58,"Simon",countup,43,2025-08-01T04:22:02.053Z,Up,284,"0,2,0,2,16,16,8,0,32,4,2,0,8,2,4,0",77,1,2,false
20250801_162156_oej58,"Simon",countup,44,2025-08-01T04:22:02.068Z,Left,348,"4,0,0,0,32,8,0,4,32,4,2,0,8,2,4,0",15,1,1,false
20250801_162156_oej58,"Simon",countup,45,2025-08-01T04:22:02.142Z,Right,348,"4,8,2,4,64,4,4,0,8,2,0,2,0,0,0,0",74,1,0,false
20250801_162156_oej58,"Simon",countup,46,2025-08-01T04:22:02.212Z,Left,348,"0,0,4,0,4,8,0,0,64,4,2,4,8,2,4,2",69,1,0,false
20250801_162156_oej58,"Simon",countup,47,2025-08-01T04:22:02.224Z,Up,360,"4,8,4,4,64,4,2,2,8,2,4,0,2,0,0,0",13,1,2,false
