Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250802_143629_w22zx,"peter",countdown,1,2025-08-02T02:36:32.524Z,Up,0,"2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2",2840,1,0,false
20250802_143629_w22zx,"peter",countdown,2,2025-08-02T02:36:32.789Z,Down,4,"2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0",266,1,1,false
20250802_143629_w22zx,"peter",countdown,3,2025-08-02T02:36:33.502Z,Left,8,"0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2",713,1,1,false
20250802_143629_w22zx,"peter",countdown,4,2025-08-02T02:36:33.854Z,Left,16,"0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0",352,1,1,false
20250802_143629_w22zx,"peter",countdown,5,2025-08-02T02:36:34.122Z,Left,16,"0,2,0,8,0,0,0,0,0,0,0,0,2,0,0,0",267,1,0,false
20250802_143629_w22zx,"peter",countdown,6,2025-08-02T02:36:34.963Z,Down,20,"2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0",842,1,1,false
20250802_143629_w22zx,"peter",countdown,7,2025-08-02T02:36:35.166Z,Down,20,"0,2,4,8,0,0,0,0,2,0,0,0,0,0,0,0",202,1,0,false
20250802_143629_w22zx,"peter",countdown,8,2025-08-02T02:36:35.373Z,Down,20,"0,2,4,8,0,0,0,0,0,0,0,2,0,0,2,0",208,1,0,false
20250802_143629_w22zx,"peter",countdown,9,2025-08-02T02:36:35.649Z,Left,24,"0,2,4,8,0,0,0,2,0,0,0,2,0,0,0,2",276,1,1,false
20250802_143629_w22zx,"peter",countdown,10,2025-08-02T02:36:35.846Z,Left,24,"0,2,4,8,0,0,0,4,0,0,2,2,0,0,0,0",197,1,0,false
20250802_143629_w22zx,"peter",countdown,11,2025-08-02T02:36:36.045Z,Left,24,"0,2,4,8,2,0,2,4,0,0,0,2,0,0,0,0",199,1,0,false
20250802_143629_w22zx,"peter",countdown,12,2025-08-02T02:36:36.341Z,Down,28,"2,2,4,8,0,0,2,4,0,0,0,2,0,2,0,0",296,1,1,false
20250802_143629_w22zx,"peter",countdown,13,2025-08-02T02:36:36.552Z,Down,40,"0,4,4,8,0,0,2,4,2,0,0,2,0,0,0,2",211,1,2,false
20250802_143629_w22zx,"peter",countdown,14,2025-08-02T02:36:36.745Z,Down,60,"0,0,8,8,0,0,2,4,0,0,0,4,2,0,0,2",193,1,2,false
20250802_143629_w22zx,"peter",countdown,15,2025-08-02T02:36:37.068Z,Left,68,"0,2,0,16,0,0,2,4,0,0,0,4,0,0,0,4",323,1,1,false
20250802_143629_w22zx,"peter",countdown,16,2025-08-02T02:36:37.266Z,Left,68,"0,2,2,16,2,0,0,8,0,0,0,4,0,0,0,0",198,1,0,false
20250802_143629_w22zx,"peter",countdown,17,2025-08-02T02:36:37.464Z,Left,68,"2,2,2,16,0,0,0,8,0,0,0,4,4,0,0,0",197,1,0,false
20250802_143629_w22zx,"peter",countdown,18,2025-08-02T02:36:37.749Z,Down,72,"2,2,2,16,4,0,0,8,0,0,0,4,2,0,0,0",286,1,1,false
20250802_143629_w22zx,"peter",countdown,19,2025-08-02T02:36:37.945Z,Down,76,"2,2,4,16,0,0,4,8,0,0,0,4,0,0,0,2",196,1,1,false
20250802_143629_w22zx,"peter",countdown,20,2025-08-02T02:36:38.128Z,Down,84,"0,4,4,16,0,0,4,8,0,2,0,4,0,0,0,2",183,1,1,false
20250802_143629_w22zx,"peter",countdown,21,2025-08-02T02:36:38.282Z,Down,88,"0,0,8,16,0,0,4,8,0,2,2,4,0,0,0,2",154,1,1,false
20250802_143629_w22zx,"peter",countdown,22,2025-08-02T02:36:38.565Z,Left,96,"0,0,8,16,0,0,4,8,0,2,4,4,0,0,0,2",283,1,1,false
20250802_143629_w22zx,"peter",countdown,23,2025-08-02T02:36:38.779Z,Left,112,"0,2,8,16,0,0,8,8,0,0,2,4,0,0,0,2",214,1,1,false
20250802_143629_w22zx,"peter",countdown,24,2025-08-02T02:36:38.980Z,Left,116,"0,2,16,16,0,0,2,8,0,0,0,4,0,0,2,2",201,1,1,false
20250802_143629_w22zx,"peter",countdown,25,2025-08-02T02:36:39.296Z,Down,156,"0,2,16,16,0,4,4,8,0,0,0,4,0,0,0,2",316,1,2,false
20250802_143629_w22zx,"peter",countdown,26,2025-08-02T02:36:39.489Z,Down,176,"0,0,2,32,0,0,8,8,0,0,0,4,2,0,0,2",193,1,2,false
20250802_143629_w22zx,"peter",countdown,27,2025-08-02T02:36:39.997Z,Left,188,"0,0,2,32,0,0,2,16,0,0,0,4,0,0,0,4",508,1,2,false
20250802_143629_w22zx,"peter",countdown,28,2025-08-02T02:36:40.180Z,Left,188,"0,0,4,32,0,0,0,16,0,0,0,8,0,2,0,0",183,1,0,false
20250802_143629_w22zx,"peter",countdown,29,2025-08-02T02:36:40.385Z,Left,188,"0,2,4,32,0,0,0,16,0,0,2,8,0,0,0,0",205,1,0,false
20250802_143629_w22zx,"peter",countdown,30,2025-08-02T02:36:42.122Z,Right,188,"0,2,4,32,0,0,2,16,0,0,0,8,0,0,0,2",1737,1,0,false
20250802_143629_w22zx,"peter",countdown,31,2025-08-02T02:36:42.451Z,Down,192,"0,0,0,32,2,0,0,16,0,0,4,8,0,2,2,2",329,1,1,false
20250802_143629_w22zx,"peter",countdown,32,2025-08-02T02:36:42.646Z,Down,196,"0,0,0,32,0,0,2,16,0,0,4,8,0,2,2,4",195,1,1,false
20250802_143629_w22zx,"peter",countdown,33,2025-08-02T02:36:42.839Z,Down,204,"0,0,0,32,0,0,2,16,2,0,4,8,0,0,4,4",193,1,1,false
20250802_143629_w22zx,"peter",countdown,34,2025-08-02T02:36:43.034Z,Down,208,"0,0,0,32,0,2,2,16,0,2,4,8,0,0,0,8",195,1,1,false
20250802_143629_w22zx,"peter",countdown,35,2025-08-02T02:36:43.234Z,Down,208,"2,0,0,32,0,0,4,16,0,2,4,8,0,0,0,8",200,1,0,false
20250802_143629_w22zx,"peter",countdown,36,2025-08-02T02:36:44.047Z,Left,232,"0,0,2,32,0,0,4,16,0,2,4,8,0,0,2,8",813,1,2,false
20250802_143629_w22zx,"peter",countdown,37,2025-08-02T02:36:44.252Z,Left,268,"0,2,2,32,0,2,8,16,0,0,2,16,0,0,0,0",204,1,2,false
20250802_143629_w22zx,"peter",countdown,38,2025-08-02T02:36:44.483Z,Left,336,"0,4,2,32,0,0,8,32,0,0,2,0,0,0,2,0",231,1,2,false
20250802_143629_w22zx,"peter",countdown,39,2025-08-02T02:36:44.691Z,Left,336,"0,4,2,64,0,0,8,0,0,0,4,2,0,0,0,0",209,1,0,false
20250802_143629_w22zx,"peter",countdown,40,2025-08-02T02:36:45.332Z,Down,336,"2,4,2,64,0,0,8,2,0,0,4,0,0,0,0,0",641,1,0,false
20250802_143629_w22zx,"peter",countdown,41,2025-08-02T02:36:46.864Z,Right,336,"2,4,2,64,0,0,8,2,0,0,2,4,0,0,0,0",1532,1,0,false
20250802_143629_w22zx,"peter",countdown,42,2025-08-02T02:36:47.223Z,Left,336,"0,0,0,0,0,2,2,64,0,0,8,2,2,4,2,4",359,1,0,false
20250802_143629_w22zx,"peter",countdown,43,2025-08-02T02:36:48.027Z,Down,340,"2,2,2,64,0,4,8,2,0,0,2,4,0,0,0,2",804,1,1,false
20250802_143629_w22zx,"peter",countdown,44,2025-08-02T02:36:48.229Z,Down,344,"2,2,4,64,0,4,8,2,0,0,2,4,0,0,0,2",202,1,1,false
20250802_143629_w22zx,"peter",countdown,45,2025-08-02T02:36:48.423Z,Down,356,"0,4,4,64,0,4,8,2,0,0,2,4,0,0,2,2",194,1,2,false
20250802_143629_w22zx,"peter",countdown,46,2025-08-02T02:36:49.310Z,Left,384,"0,0,8,64,0,4,8,2,0,0,2,4,0,0,2,4",887,1,3,false
