Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250802_155229_gsay8,"Peter",countdown,1,2025-08-02T03:52:33.031Z,Down,0,"0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0",3450,1,0,false
20250802_155229_gsay8,"Peter",countdown,2,2025-08-02T03:52:33.249Z,Down,4,"0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2",220,1,1,false
20250802_155229_gsay8,"Peter",countdown,3,2025-08-02T03:52:33.498Z,Left,4,"0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2",249,1,0,true
20250802_155229_gsay8,"Peter",countdown,4,2025-08-02T03:52:34.275Z,Down,8,"2,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0",776,1,1,true
20250802_155229_gsay8,"Peter",countdown,5,2025-08-02T03:52:34.493Z,Down,16,"0,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0",218,1,1,true
20250802_155229_gsay8,"Peter",countdown,6,2025-08-02T03:52:34.726Z,Left,20,"0,0,0,8,0,0,0,2,0,2,0,2,0,0,0,0",233,1,1,true
20250802_155229_gsay8,"Peter",countdown,7,2025-08-02T03:52:34.932Z,Down,24,"2,2,0,8,0,0,0,4,0,0,0,0,0,0,0,0",207,1,1,true
20250802_155229_gsay8,"Peter",countdown,8,2025-08-02T03:52:36.172Z,Right,24,"0,0,4,8,0,0,0,4,0,0,0,2,0,0,0,0",1240,1,0,false
20250802_155229_gsay8,"Peter",countdown,9,2025-08-02T03:52:36.582Z,Left,24,"0,0,0,0,0,0,0,8,0,0,2,4,0,0,4,2",410,1,0,true
20250802_155229_gsay8,"Peter",countdown,10,2025-08-02T03:52:36.924Z,Down,36,"0,0,2,8,0,0,4,4,0,2,0,2,0,0,0,0",342,1,2,true
20250802_155229_gsay8,"Peter",countdown,11,2025-08-02T03:52:37.100Z,Down,36,"0,0,2,8,0,0,0,8,0,2,0,4,0,0,0,0",176,1,0,true
20250802_155229_gsay8,"Peter",countdown,12,2025-08-02T03:52:37.265Z,Down,40,"0,0,2,8,0,0,0,8,2,0,2,4,0,0,0,0",165,1,1,true
20250802_155229_gsay8,"Peter",countdown,13,2025-08-02T03:52:37.437Z,Down,48,"0,0,2,8,0,0,0,8,0,0,4,4,0,2,0,0",172,1,1,true
